,section,date,week,team_name,abbr_team_name,home-away,result,score,start-time,gym,place,address,date_DT,distance_s,distance,accum
5,4,2018/10/20,土,三遠ネオフェニックス,三遠,HOME,LOSE,63,14:05,豊橋市総合体育館,豊橋市,愛知県豊橋市神野新田町メノ割１−３,2018-10-20,398 km,398.0,993.0
6,4,2018/10/21,日,三遠ネオフェニックス,三遠,HOME,LOSE,60,14:05,豊橋市総合体育館,豊橋市,愛知県豊橋市神野新田町メノ割１−３,2018-10-21,0 km,0.0,993.0
7,5,2018/10/24,水,三遠ネオフェニックス,三遠,AWAY,WIN,65,19:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３,2018-10-24,271 km,271.0,1264.0
8,6,2018/10/27,土,三遠ネオフェニックス,三遠,AWAY,LOSE,54,18:05,リージョンプラザ上越,上越市,新潟県上越市下門前４４６−２,2018-10-27,285 km,285.0,1549.0
9,6,2018/10/28,日,三遠ネオフェニックス,三遠,AWAY,WIN,91,14:05,リージョンプラザ上越,上越市,新潟県上越市下門前４４６−２,2018-10-28,0 km,0.0,1549.0
0,1,2018/10/6,土,滋賀レイクスターズ,滋賀,HOME,LOSE,73,14:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２,2018-10-06,0 Km,0.0,0.0
1,1,2018/10/7,日,滋賀レイクスターズ,滋賀,HOME,WIN,75,14:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２,2018-10-07,0 km,0.0,0.0
2,2,2018/10/12,金,滋賀レイクスターズ,滋賀,AWAY,LOSE,64,19:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３,2018-10-12,431 km,431.0,431.0
3,2,2018/10/13,土,滋賀レイクスターズ,滋賀,AWAY,WIN,80,16:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３,2018-10-13,0 km,0.0,431.0
4,3,2018/10/17,水,滋賀レイクスターズ,滋賀,HOME,LOSE,60,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２,2018-10-17,431 km,431.0,862.0
5,4,2018/10/20,土,滋賀レイクスターズ,滋賀,AWAY,LOSE,76,18:05,横浜国際プール,横浜市,神奈川県横浜市都筑区北山田７−３−１,2018-10-20,425 km,425.0,1287.0
6,4,2018/10/21,日,滋賀レイクスターズ,滋賀,AWAY,LOSE,70,14:05,横浜国際プール,横浜市,神奈川県横浜市都筑区北山田７−３−１,2018-10-21,0 km,0.0,1287.0
7,5,2018/10/24,水,滋賀レイクスターズ,滋賀,HOME,LOSE,77,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２,2018-10-24,425 km,425.0,1712.0
8,6,2018/10/29,月,滋賀レイクスターズ,滋賀,HOME,LOSE,56,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２,2018-10-29,0 km,0.0,1712.0
9,6,2018/10/30,火,滋賀レイクスターズ,滋賀,HOME,LOSE,75,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２,2018-10-30,0 km,0.0,1712.0
0,1,2018/10/6,土,レバンガ北海道,北海道,HOME,LOSE,68,15:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１,2018-10-06,0 Km,0.0,0.0
1,1,2018/10/7,日,レバンガ北海道,北海道,HOME,WIN,70,14:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１,2018-10-07,0 km,0.0,0.0
2,2,2018/10/13,土,レバンガ北海道,北海道,AWAY,LOSE,66,18:05,青山学院記念館,東京都,東京都渋谷区渋谷４丁目４−２５,2018-10-13,"1,047 km",1047.0,1047.0
3,2,2018/10/14,日,レバンガ北海道,北海道,AWAY,WIN,76,14:05,青山学院記念館,東京都,東京都渋谷区渋谷４丁目４−２５,2018-10-14,0 km,0.0,1047.0
4,3,2018/10/17,水,レバンガ北海道,北海道,HOME,LOSE,63,19:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１,2018-10-17,"1,047 km",1047.0,2094.0
5,4,2018/10/20,土,レバンガ北海道,北海道,AWAY,WIN,72,15:05,栃木県立県南体育館,小山市,栃木県小山市外城３７１−１,2018-10-20,969 km,969.0,3063.0
6,4,2018/10/21,日,レバンガ北海道,北海道,AWAY,LOSE,70,15:05,栃木県立県南体育館,小山市,栃木県小山市外城３７１−１,2018-10-21,0 km,0.0,3063.0
7,5,2018/10/24,水,レバンガ北海道,北海道,AWAY,LOSE,78,19:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１,2018-10-24,76.2 km,76.2,3139.2
8,6,2018/10/28,日,レバンガ北海道,北海道,HOME,LOSE,72,15:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１,2018-10-28,"1,032 km",1032.0,4171.2
9,6,2018/10/29,月,レバンガ北海道,北海道,HOME,LOSE,60,19:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１,2018-10-29,0 km,0.0,4171.2
0,1,2018/10/6,土,アルバルク東京,東京,HOME,WIN,73,15:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４,2018-10-06,0 Km,0.0,0.0
1,1,2018/10/7,日,アルバルク東京,東京,HOME,WIN,87,15:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４,2018-10-07,0 km,0.0,0.0
2,2,2018/10/13,土,アルバルク東京,東京,AWAY,WIN,77,14:05,ウィングアリーナ刈谷,刈谷市,愛知県刈谷市築地町荒田1,2018-10-13,309 km,309.0,309.0
3,2,2018/10/14,日,アルバルク東京,東京,AWAY,WIN,65,14:05,ウィングアリーナ刈谷,刈谷市,愛知県刈谷市築地町荒田1,2018-10-14,0 km,0.0,309.0
4,3,2018/10/17,水,アルバルク東京,東京,HOME,LOSE,74,19:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４,2018-10-17,310 km,310.0,619.0
5,4,2018/10/20,土,アルバルク東京,東京,HOME,WIN,89,15:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４,2018-10-20,0 km,0.0,619.0
6,4,2018/10/21,日,アルバルク東京,東京,HOME,WIN,66,15:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４,2018-10-21,0 km,0.0,619.0
7,5,2018/10/24,水,アルバルク東京,東京,AWAY,WIN,62,19:05,墨田区総合体育館,東京都,東京都墨田区錦糸４丁目１５−１,2018-10-24,39.2 km,39.2,658.2
8,6,2018/10/27,土,アルバルク東京,東京,AWAY,WIN,77,18:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町,2018-10-27,469 km,469.0,1127.2
9,6,2018/10/28,日,アルバルク東京,東京,AWAY,LOSE,70,14:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町,2018-10-28,0 km,0.0,1127.2
0,1,2018/10/6,土,名古屋ダイヤモンドドルフィンズ,名古屋,HOME,WIN,80,16:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１,2018-10-06,0 Km,0.0,0.0
1,1,2018/10/7,日,名古屋ダイヤモンドドルフィンズ,名古屋,HOME,WIN,96,15:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１,2018-10-07,0 km,0.0,0.0
2,2,2018/10/12,金,名古屋ダイヤモンドドルフィンズ,名古屋,AWAY,LOSE,87,19:35,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内,2018-10-12,"1,608 km",1608.0,1608.0
3,2,2018/10/13,土,名古屋ダイヤモンドドルフィンズ,名古屋,AWAY,LOSE,68,15:25,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内,2018-10-13,0 km,0.0,1608.0
4,3,2018/10/17,水,名古屋ダイヤモンドドルフィンズ,名古屋,HOME,WIN,89,19:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１,2018-10-17,"1,608 km",1608.0,3216.0
5,4,2018/10/20,土,名古屋ダイヤモンドドルフィンズ,名古屋,AWAY,WIN,76,18:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５,2018-10-20,172 km,172.0,3388.0
6,4,2018/10/21,日,名古屋ダイヤモンドドルフィンズ,名古屋,AWAY,WIN,80,14:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５,2018-10-21,0 km,0.0,3388.0
7,5,2018/10/24,水,名古屋ダイヤモンドドルフィンズ,名古屋,AWAY,WIN,84,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２,2018-10-24,64.5 km,64.5,3452.5
8,6,2018/10/27,土,名古屋ダイヤモンドドルフィンズ,名古屋,HOME,WIN,90,16:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１,2018-10-27,112 km,112.0,3564.5
9,6,2018/10/28,日,名古屋ダイヤモンドドルフィンズ,名古屋,HOME,WIN,91,15:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１,2018-10-28,0 km,0.0,3564.5
0,1,2018/10/6,土,富山グラウジーズ,富山,HOME,WIN,94,18:05,富山市総合体育館,富山市,富山県富山市湊入船町１２−１,2018-10-06,0 Km,0.0,0.0
1,1,2018/10/7,日,富山グラウジーズ,富山,HOME,WIN,101,13:05,富山市総合体育館,富山市,富山県富山市湊入船町１２−１,2018-10-07,0 km,0.0,0.0
2,2,2018/10/12,金,富山グラウジーズ,富山,AWAY,LOSE,84,19:05,ブレックスアリーナ宇都宮,宇都宮市,栃木県宇都宮市元今泉５−６−１８,2018-10-12,358 km,358.0,358.0
3,2,2018/10/13,土,富山グラウジーズ,富山,AWAY,LOSE,80,18:05,ブレックスアリーナ宇都宮,宇都宮市,栃木県宇都宮市元今泉５−６−１８,2018-10-13,0 km,0.0,358.0
4,3,2018/10/17,水,富山グラウジーズ,富山,AWAY,WIN,88,19:05,横浜文化体育館,横浜市,神奈川県横浜市中区不老町２丁目７,2018-10-17,138 km,138.0,496.0
5,4,2018/10/20,土,富山グラウジーズ,富山,HOME,WIN,90,18:05,富山市総合体育館,富山市,富山県富山市湊入船町１２−１,2018-10-20,343 km,343.0,839.0
6,4,2018/10/21,日,富山グラウジーズ,富山,HOME,WIN,95,13:05,富山市総合体育館,富山市,富山県富山市湊入船町１２−１,2018-10-21,0 km,0.0,839.0
7,5,2018/10/24,水,富山グラウジーズ,富山,AWAY,LOSE,71,19:05,ウィングアリーナ刈谷,刈谷市,愛知県刈谷市築地町荒田1,2018-10-24,242 km,242.0,1081.0
8,6,2018/10/27,土,富山グラウジーズ,富山,HOME,WIN,90,18:05,富山県総合体育センター,富山市,富山県富山市秋ケ島１８３,2018-10-27,236 km,236.0,1317.0
9,6,2018/10/28,日,富山グラウジーズ,富山,HOME,WIN,98,13:05,富山県総合体育センター,富山市,富山県富山市秋ケ島１８３,2018-10-28,0 km,0.0,1317.0
0,1,2018/10/6,土,ライジングゼファー福岡,福岡,HOME,LOSE,67,18:05,福岡市民体育館,福岡市,福岡県福岡市博多区東公園８−２,2018-10-06,0 Km,0.0,0.0
1,1,2018/10/7,日,ライジングゼファー福岡,福岡,HOME,LOSE,73,14:05,福岡市民体育館,福岡市,福岡県福岡市博多区東公園８−２,2018-10-07,0 km,0.0,0.0
2,2,2018/10/12,金,ライジングゼファー福岡,福岡,AWAY,LOSE,56,19:05,サンエイワーク住吉スポーツセンター,大阪市,大阪府大阪市住吉区浅香１丁目８−１５,2018-10-12,592 km,592.0,592.0
3,2,2018/10/13,土,ライジングゼファー福岡,福岡,AWAY,LOSE,65,14:05,サンエイワーク住吉スポーツセンター,大阪市,大阪府大阪市住吉区浅香１丁目８−１５,2018-10-13,0 km,0.0,592.0
4,3,2018/10/17,水,ライジングゼファー福岡,福岡,AWAY,LOSE,76,19:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１,2018-10-17,170 km,170.0,762.0
5,4,2018/10/20,土,ライジングゼファー福岡,福岡,AWAY,LOSE,71,14:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号,2018-10-20,673 km,673.0,1435.0
6,4,2018/10/21,日,ライジングゼファー福岡,福岡,AWAY,LOSE,53,14:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号,2018-10-21,0 km,0.0,1435.0
7,5,2018/10/24,水,ライジングゼファー福岡,福岡,HOME,LOSE,72,19:05,北九州市総合体育館,北九州市,福岡県北九州市八幡東区八王寺町４−１,2018-10-24,"1,308 km",1308.0,2743.0
8,6,2018/10/27,土,ライジングゼファー福岡,福岡,AWAY,LOSE,78,16:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１,2018-10-27,678 km,678.0,3421.0
9,6,2018/10/28,日,ライジングゼファー福岡,福岡,AWAY,LOSE,88,15:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１,2018-10-28,0 km,0.0,3421.0
0,1,2018/10/6,土,新潟アルビレックスBB,新潟,AWAY,WIN,78,14:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２,2018-10-06,0 Km,0.0,0.0
1,1,2018/10/7,日,新潟アルビレックスBB,新潟,AWAY,LOSE,71,14:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２,2018-10-07,0 km,0.0,0.0
2,2,2018/10/11,木,新潟アルビレックスBB,新潟,HOME,WIN,84,19:05,新潟市東総合スポーツセンター,新潟市,新潟県新潟市東区はなみずき３丁目４−１,2018-10-11,512 km,512.0,512.0
3,2,2018/10/12,金,新潟アルビレックスBB,新潟,HOME,WIN,104,19:05,新潟市東総合スポーツセンター,新潟市,新潟県新潟市東区はなみずき３丁目４−１,2018-10-12,0 km,0.0,512.0
4,3,2018/10/17,水,新潟アルビレックスBB,新潟,HOME,WIN,61,19:05,シティホールプラザアオーレ長岡,長岡市,新潟県長岡市大手通１丁目４−１０,2018-10-17,60.6 km,60.6,572.6
5,4,2018/10/20,土,新潟アルビレックスBB,新潟,AWAY,LOSE,90,17:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１,2018-10-20,279 km,279.0,851.6
6,4,2018/10/21,日,新潟アルビレックスBB,新潟,AWAY,LOSE,87,15:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１,2018-10-21,0 km,0.0,851.6
7,5,2018/10/24,水,新潟アルビレックスBB,新潟,AWAY,WIN,88,19:05,横浜国際プール,横浜市,神奈川県横浜市都筑区北山田７−３−１,2018-10-24,51.9 km,51.9,903.5
8,6,2018/10/27,土,新潟アルビレックスBB,新潟,HOME,WIN,77,18:05,リージョンプラザ上越,上越市,新潟県上越市下門前４４６−２,2018-10-27,285 km,285.0,1188.5
9,6,2018/10/28,日,新潟アルビレックスBB,新潟,HOME,LOSE,72,14:05,リージョンプラザ上越,上越市,新潟県上越市下門前４４６−２,2018-10-28,0 km,0.0,1188.5
0,1,2018/10/6,土,栃木ブレックス,栃木,AWAY,WIN,79,18:05,福岡市民体育館,福岡市,福岡県福岡市博多区東公園８−２,2018-10-06,0 Km,0.0,0.0
1,1,2018/10/7,日,栃木ブレックス,栃木,AWAY,WIN,82,14:05,福岡市民体育館,福岡市,福岡県福岡市博多区東公園８−２,2018-10-07,0 km,0.0,0.0
2,2,2018/10/12,金,栃木ブレックス,栃木,HOME,WIN,104,19:05,ブレックスアリーナ宇都宮,宇都宮市,栃木県宇都宮市元今泉５−６−１８,2018-10-12,"1,123 km",1123.0,1123.0
3,2,2018/10/13,土,栃木ブレックス,栃木,HOME,WIN,85,18:05,ブレックスアリーナ宇都宮,宇都宮市,栃木県宇都宮市元今泉５−６−１８,2018-10-13,0 km,0.0,1123.0
4,3,2018/10/17,水,栃木ブレックス,栃木,AWAY,WIN,79,19:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４,2018-10-17,114 km,114.0,1237.0
5,4,2018/10/20,土,栃木ブレックス,栃木,HOME,LOSE,70,15:05,栃木県立県南体育館,小山市,栃木県小山市外城３７１−１,2018-10-20,81.8 km,81.8,1318.8
6,4,2018/10/21,日,栃木ブレックス,栃木,HOME,WIN,79,15:05,栃木県立県南体育館,小山市,栃木県小山市外城３７１−１,2018-10-21,0 km,0.0,1318.8
7,5,2018/10/24,水,栃木ブレックス,栃木,AWAY,WIN,77,19:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号,2018-10-24,461 km,461.0,1779.8
8,6,2018/10/28,日,栃木ブレックス,栃木,AWAY,WIN,86,15:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１,2018-10-28,519 km,519.0,2298.8
9,6,2018/10/29,月,栃木ブレックス,栃木,AWAY,WIN,85,19:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１,2018-10-29,0 km,0.0,2298.8
0,1,2018/10/4,木,川崎ブレイブサンダース,川崎,AWAY,WIN,81,19:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１,2018-10-04,0 Km,0.0,0.0
1,1,2018/10/6,土,川崎ブレイブサンダース,川崎,AWAY,WIN,68,15:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１,2018-10-06,0 km,0.0,0.0
2,2,2018/10/12,金,川崎ブレイブサンダース,川崎,HOME,WIN,76,19:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３,2018-10-12,46.6 km,46.6,46.6
3,2,2018/10/13,土,川崎ブレイブサンダース,川崎,HOME,LOSE,68,16:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３,2018-10-13,0 km,0.0,46.6
4,3,2018/10/17,水,川崎ブレイブサンダース,川崎,HOME,WIN,69,19:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３,2018-10-17,0 km,0.0,46.6
5,4,2018/10/20,土,川崎ブレイブサンダース,川崎,AWAY,LOSE,67,15:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４,2018-10-20,28.7 km,28.7,75.3
6,4,2018/10/21,日,川崎ブレイブサンダース,川崎,AWAY,LOSE,46,15:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４,2018-10-21,0 km,0.0,75.3
7,5,2018/10/24,水,川崎ブレイブサンダース,川崎,HOME,LOSE,56,19:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３,2018-10-24,28.8 km,28.8,104.1
8,6,2018/10/26,金,川崎ブレイブサンダース,川崎,AWAY,LOSE,60,20:05,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内,2018-10-26,"1,894 km",1894.0,1998.1
9,6,2018/10/27,土,川崎ブレイブサンダース,川崎,AWAY,WIN,75,15:25,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内,2018-10-27,0 km,0.0,1998.1
0,1,2018/10/6,土,京都ハンナリーズ,京都,AWAY,LOSE,64,14:05,豊橋市総合体育館,豊橋市,愛知県豊橋市神野新田町メノ割１−３,2018-10-06,0 Km,0.0,0.0
1,1,2018/10/7,日,京都ハンナリーズ,京都,AWAY,WIN,93,14:05,豊橋市総合体育館,豊橋市,愛知県豊橋市神野新田町メノ割１−３,2018-10-07,0 km,0.0,0.0
2,2,2018/10/12,金,京都ハンナリーズ,京都,HOME,WIN,84,19:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町,2018-10-12,187 km,187.0,187.0
3,2,2018/10/13,土,京都ハンナリーズ,京都,HOME,WIN,87,14:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町,2018-10-13,0 km,0.0,187.0
4,3,2018/10/17,水,京都ハンナリーズ,京都,HOME,WIN,94,19:05,向日市民体育館,向日市,京都府向日市森本町小柳２３−１,2018-10-17,6.4 km,6.4,193.4
5,4,2018/10/20,土,京都ハンナリーズ,京都,AWAY,LOSE,71,18:05,富山市総合体育館,富山市,富山県富山市湊入船町１２−１,2018-10-20,289 km,289.0,482.4
6,4,2018/10/21,日,京都ハンナリーズ,京都,AWAY,LOSE,64,13:05,富山市総合体育館,富山市,富山県富山市湊入船町１２−１,2018-10-21,0 km,0.0,482.4
7,5,2018/10/24,水,京都ハンナリーズ,京都,AWAY,WIN,81,19:05,北九州市総合体育館,北九州市,福岡県北九州市八幡東区八王寺町４−１,2018-10-24,824 km,824.0,1306.4
8,6,2018/10/27,土,京都ハンナリーズ,京都,HOME,LOSE,67,18:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町,2018-10-27,551 km,551.0,1857.4
9,6,2018/10/28,日,京都ハンナリーズ,京都,HOME,WIN,79,14:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町,2018-10-28,0 km,0.0,1857.4
0,1,2018/10/6,土,大阪エヴェッサ,大阪,AWAY,WIN,74,15:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１,2018-10-06,0 Km,0.0,0.0
1,1,2018/10/7,日,大阪エヴェッサ,大阪,AWAY,LOSE,53,14:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１,2018-10-07,0 km,0.0,0.0
2,2,2018/10/12,金,大阪エヴェッサ,大阪,HOME,WIN,73,19:05,サンエイワーク住吉スポーツセンター,大阪市,大阪府大阪市住吉区浅香１丁目８−１５,2018-10-12,"1,336 km",1336.0,1336.0
3,2,2018/10/13,土,大阪エヴェッサ,大阪,HOME,WIN,89,14:05,サンエイワーク住吉スポーツセンター,大阪市,大阪府大阪市住吉区浅香１丁目８−１５,2018-10-13,0 km,0.0,1336.0
4,3,2018/10/17,水,大阪エヴェッサ,大阪,AWAY,WIN,64,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２,2018-10-17,64.0 km,64.0,1400.0
5,4,2018/10/20,土,大阪エヴェッサ,大阪,HOME,LOSE,63,18:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５,2018-10-20,64.4 km,64.4,1464.4
6,4,2018/10/21,日,大阪エヴェッサ,大阪,HOME,LOSE,70,14:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５,2018-10-21,0 km,0.0,1464.4
7,5,2018/10/24,水,大阪エヴェッサ,大阪,AWAY,LOSE,48,20:05,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内,2018-10-24,"1,461 km",1461.0,2925.4
